x;result;tay_iterations;tay_time;cfiterations;cf_time
3159.0925;8.0580401;49318;0.00043;284;4e-06
3161.6066;8.0588356;49358;0.00044;284;5e-06
3164.1217;8.0596308;49397;0.000441;285;4e-06
3166.6378;8.0604257;49436;0.000442;285;5e-06
3169.1549;8.0612202;49475;0.000432;285;5e-06
3171.673;8.0620145;49515;0.000442;285;5e-06
3174.1921;8.0628084;49554;0.000443;285;4e-06
3176.7122;8.063602;49594;0.000443;285;5e-06
3179.2333;8.0643953;49633;0.000433;285;4e-06
3181.7554;8.0651883;49672;0.000433;285;5e-06
3184.2785;8.065981;49712;0.000444;285;4e-06
3186.8026;8.0667734;49751;0.000444;286;5e-06
3189.3277;8.0675654;49791;0.000435;286;4e-06
3191.8538;8.0683571;49830;0.000445;286;4e-06
3194.3809;8.0691486;49869;0.000446;286;4e-06
3196.909;8.0699397;49909;0.000445;286;5e-06
3199.4381;8.0707305;49948;0.000436;286;4e-06
3201.9682;8.071521;49988;0.000446;286;4e-06
3204.4993;8.0723111;50027;0.000436;286;4e-06
3207.0314;8.073101;50067;0.000447;286;4e-06
3209.5645;8.0738905;50106;0.000438;287;5e-06
3212.0986;8.0746798;50146;0.000448;287;4e-06
3214.6337;8.0754687;50186;0.000448;287;5e-06
3217.1698;8.0762573;50225;0.000454;287;4e-06
3219.7069;8.0770456;50265;0.000449;287;5e-06
3222.245;8.0778336;50304;0.000449;287;5e-06
3224.7841;8.0786213;50344;0.000439;287;4e-06
3227.3242;8.0794086;50384;0.000465;287;4e-06
3229.8653;8.0801957;50423;0.000441;287;4e-06
3232.4074;8.0809825;50463;0.000441;288;5e-06
3234.9505;8.0817689;50503;0.000441;288;5e-06
3237.4946;8.082555;50543;0.000442;288;5e-06
3240.0397;8.0833409;50582;0.000451;288;4e-06
3242.5858;8.0841264;50622;0.000452;288;5e-06
3245.1329;8.0849116;50662;0.000452;288;5e-06
3247.681;8.0856965;50702;0.000443;288;5e-06
3250.2301;8.0864811;50741;0.000453;288;4e-06
3252.7802;8.0872653;50781;0.000453;288;5e-06
3255.3313;8.0880493;50821;0.000454;289;5e-06
3257.8834;8.088833;50861;0.000444;289;4e-06
3260.4365;8.0896164;50901;0.000454;289;5e-06
3262.9906;8.0903994;50941;0.000455;289;4e-06
3265.5457;8.0911822;50980;0.000463;289;4e-06
3268.1018;8.0919646;51020;0.000446;289;4e-06
3270.6589;8.0927467;51060;0.000456;289;5e-06
3273.217;8.0935286;51100;0.000457;289;4e-06
3275.7761;8.0943101;51140;0.000465;289;4e-06
